node_id,style_id,reason,status
A0183,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Original ITF master",proposed
A0197,inoue-ha-shito-ryu,[taxonomy:shito-ryu/confirmed] Student of Yoshimi Inoue; 2012 world kata champion and one of the three students who promoted Inoue-ha Shito-ryu after Inoue's death.,proposed
A0204,shito-kai,[taxonomy:shito-ryu/confirmed] [repointed on the verifier's ruling] Ishimi trained under Tsuzikawa and Kenei Mabuni and was Shito-kai's European representative; no Sakagami/Itosu-kai link,proposed
A0211,genseiryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Founder of Genseiryū (name first used 1953), built on his training under Sadoyama and Kishimoto Sōkō;",proposed
A0217,goju-kai,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] Senior Gōjū-ryū instructor in Gogen Yamaguchi's mainland organisation; teacher of Mas Oyama.",proposed
A0228,goju-kai,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] Duplicate roster entry for So Nei Chu (A0217); same Gōjū-kai assignment.",proposed
A0230,kajukenbo,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] Principal founder (sijo) of Kajukenbo, created 1947 at the Palama Settlement, Hawaii; his kenpo came from William Chow's line. Roster h",proposed
A0232,tracy-kenpo,"[taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] Co-founder (with brother Jim) of the Tracy system, opened the first Tracy studio in San Francisco in 1962 after black belts under Ed Pa",proposed
C00001,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Kojō family member ('Akahige', the red-bearded doctor) in the family transmission.",proposed
C00035,ryukyu-kobudo-akamine,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Taira's named successor and second president of the Hozon Shinkō Kai; built the Shinbukan dōjō (1971)",proposed
C00064,uechi-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Early student of Uechi Kanbun in Wakayama and patriarch of the Shinjō family line (father of Seiyū).",proposed
C00075,ryuei-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Norisato; second-generation family transmission in secret.",proposed
C00085,goju-kai-usa,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Eldest son of Gogen Yamaguchi; arrived in San Francisco in 1964 and formally established Gōjū-Kai Karate-dō USA (1965).",proposed
C00086,goju-kai,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Son of Gogen Yamaguchi; president of the International Karate-dō Gōjū-kai Association (IKGA).",proposed
C00107,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Saikyō (1910–1996); last head of the family style.",proposed
C00108,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Fourth-generation head (1849–1925); introduced the Tenkan, Kūkan and Chikan kata that define the styl",proposed
C00117,uechi-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Uechi Kanei; president of the Uechi-ryū Karate-dō Association (Sōke Shūbukai) after the 1991 s",proposed
C00141,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Kojō family head in the 19th-century transmission of the family style.",proposed
C00197,uechi-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Uechi family instructor in the Wakayama/Kansai line per Uechi family histories; currently tagged only",proposed
C00201,bunbukan,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Founder and chairman of the Okinawa Dentō Kobudō Hozonkai Bunbukan; studied Shōrin-ryū under Chibana ",proposed
C00212,toon-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Student of Kyoda Jūhatsu who carried the tradition in his Fukuoka branch; currently tagged only karat",proposed
C00229,ryuei-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Kenkō and fourth-generation head of the Nakaima family line.",proposed
C00232,ryuei-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Third-generation head; made the family style public in 1971 and founded the Ryūei-ryū Preservation So",proposed
C00244,ryuei-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Brought the art from Ryū Ryū Ko in Fuzhou to Okinawa (c. 1870s); first-generation family head.",proposed
C00245,matayoshi-kobudo,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Studied kobudō under Matayoshi Shinpō from 1963; founded the World Oshukai Federation spreading Matay",proposed
C00246,seito-shito-ryu,[taxonomy:shito-ryu/confirmed] Second son of Kenwa Mabuni; inherited the Osaka dojo and Nippon Karate-do Kai in 1952 and led the orthodox (Seito) line until 2005.,proposed
C00253,bugeikan,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Current head of the Bugeikan, son of founder Higa Seitoku.",proposed
C00253,kishimoto-di,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Higa Seitoku; continues passing on the KishimotoDī system at the Bugeikan.",proposed
C00263,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Grandson of Kaho (1873–1941); integrated other Okinawan methods and sai-jutsu into the family style.",proposed
C00268,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Kojō family lineage figure in the Kumemura family-art genealogy.",proposed
C00269,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Kojō Uēkata (Cai Zhaogong, 1656–1737), founder figure of the Kojō family art of Kumemura.",proposed
C00334,goju-kensha,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Founded Gōjū Kensha in Tokyo in 1970 (renaming his Seishinkan dojo); student of Sosui Ichikawa in the Senbukan line.",proposed
C00352,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Kojō family member in the family lineage charts.",proposed
C00373,ryukyu-kobudo,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Taira Shinken's kobudō teacher; founded the predecessor Ryūkyū Kobujutsu Kenkyūkai (1911) that Taira'",proposed
C00438,shohei-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Tomoyose Ryūyū and teacher of Mattson; leading founder-figure of Okikukai after Uechi Kanei's ",proposed
C00440,itosu-ryu,[taxonomy:shito-ryu/confirmed] 3rd soke of Itosu-ha from 1952; renamed his line Itosu-ryu in 1969 under the Japan Karatedo Itosu-kai.,proposed
C00441,uechi-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Kanbun Uechi's first and senior student in Wakayama, who persuaded him to teach publicly.",proposed
C00449,yamanni-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] 'Yamane Usumei'; introduced the style's hallmark bouncing bō motion, and the style is named after him",proposed
C00450,ufuchiku-kobujutsu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Founder of Ufuchiku kobudō (1841–1921); police commissioner ('ufuchiku'), hence the style name.",proposed
C00475,shodokan-goju-ryu,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Son of Seko Higa (b. 1927); succeeded his father as head of the Shōdōkan.",proposed
C00478,motobu-udundi,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Chōyū's student and the post-war preserver and head of Motobu Udundī; currently tagged only karate-ge",proposed
C00480,konan-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Led the 1978 breakaway (initially Pangainoon-ryū) and renamed it Kōnan-ryū; currently tagged only kar",proposed
C00494,bugeikan,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Founded the Bugeikan in 1951 to preserve old Okinawan systems (KishimotoDī, Motobu Udundī, Yamane-ryū",proposed
C00494,kishimoto-di,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Inheritor of Kishimoto's art; preserved KishimotoDī within his Bugeikan curriculum.",proposed
C00506,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Kojō family member of the post-war generation in the family lineage.",proposed
C00518,ufuchiku-kobujutsu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Listed among Kina Shōsei's Okinawan students of Ufuchiku kobujutsu; currently tagged only karate-gene",proposed
C00527,ufuchiku-kobujutsu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Second-generation sōke after Kanagusuku's death; trained from 1906 in the system's twenty-five weapon",proposed
C00542,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Kojō family member in the 20th-century transmission of the family style.",proposed
C00550,kishimoto-di,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Namesake of the system (1862–1945); student of Tachimura, teacher of Higa Seitoku and Shukumine Seike",proposed
C00564,kojo-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Kojō family head; associated with the family dōjō in Fuzhou where Okinawans trained.",proposed
