node_id,name,name_native,birth_year,death_year,styles,locality,wikipedia_url,reason,status
A0015,Kazuo Terauchi,,,,goju-ryu|uechi-ryu|karate-generic,,,"[lineage completion] Senior IOGKF instructor (9th dan), student of Higaonna from the Yoyogi dojo, TOGKF Technical Advisor. Not in either roster. Birth year not found in consulted sources.",proposed
A0016,Bakkies Laubscher,,1948,,goju-ryu|karate-generic,,,"[lineage completion] Higaonna's most senior Western student (9th dan), pioneer of Okinawan Goju-ryu in South Africa, TOGKF Vice Chief Instructor. Not in either roster.",proposed
A0017,Sakugawa Kangi,,1733,1815,te|shuri-te|chuan-fa,,https://en.wikipedia.org/wiki/Sakugawa_Kanga,"[lineage completion] The documented 'second Sakugawa': father of Kanga Sakukawa (Q921673). Wikipedia's Sakugawa and Takahara articles, and the KishimotoDi lineage, route the Takahara/Kusanku transmission through him ('Takahara... was the fir",proposed
A0018,Tachimura no Peichin,,1814,1899,shuri-te|te,,,"[lineage completion] 'Bushi' Tachimura, listed on Wikipedia's Sakugawa Kanga page as a notable student and recorded in the KishimotoDi lineage (ilpracticalkarate.com, karateobsession.com) as Sakugawa Kanga's student, contemporary of Matsumur",proposed
A0019,Seiyu Oyata,,1928,2012,okinawa-kenpo|ryukyu-kempo|ryu-te|okinawan-kobudo,,https://en.wikipedia.org/wiki/Ry%C5%AB-te,"[lineage completion] Founder of Ryu-te and populariser of tuite/kyusho in the West; explicitly requested in the brief. Documented student of Shigeru Nakamura (orphan Q38585428) and of Seikichi Uehara, so he is needed to wire the Okinawa Kenp",proposed
A0020,Shian Toma,,1929,2013,seidokan|shorin-ryu|motobu-udundi|okinawan-kobudo,,https://en.wikipedia.org/wiki/Okinawa_Seidokan,"[lineage completion] Founder of Okinawa Seidokan (1984), named in the brief; documented student of Zenryo Shimabukuro, Shigeru Nakamura, Seiki Toma and Seikichi Uehara, and the first to teach Motobu-ryu toide outside Okinawa. Needed to ancho",proposed
A0021,Seiki Toma,,1922,2007,shorin-ryu|okinawan-kobudo|seidokan|tozan-ryu,,,"[lineage completion] Documented teacher of both Seikichi Odo (per Odo's Wikipedia article) and Shian Toma, and of orphan Masanobu Kikukawa (Q6782576, per his Wikipedia article); ran the original Seidokan dojo. Sometimes romanised Seikichi To",proposed
A0022,Katsunori Tsuyama,,1936,,shotokan,,,"[lineage completion] Essential missing hub: long-time head coach of Takushoku University karate and JKA instructor, student of Nakayama, called the 'master of the masters'; needed to wire orphans Tatsuya Naka, Masao Kawasoe and Takemasa Okuy",proposed
A0023,Hiroyasu Fujishima,,1941,,shotokan,,,[lineage completion] JKA/SKIF 8th dan instructor in Los Angeles and 1970 WUKO US team coach; needed as the only documented instructor connection for orphan Shinobu Ichiyanagi (link graded low).,proposed
A0024,Sokuichi Gibu,,1941,,shorin-ryu|shorin-ryu-shorinkan|kobayashi-shorin-ryu,,,"[lineage completion] Essential intermediate: documented senior student of Shugoro Nakazato (Shorinkan vice-president, first Shorinkan 8th dan, founder of Okinawa Shorin-ryu Butokukan, 1991) and the documented teacher of orphan Masanobu Kikuk",proposed
A0025,Tsuken Shosoku Oyakata,,,,okinawan-kobudo,,,"[lineage completion] Chikin (Tsuken) Shosoku Oyakata, bojutsu expert of the Ryukyu court exiled to Tsuken-jima; required as the documented (traditional) teacher of orphan C00626 Tsuken Akachu in the eku-jutsu origin story. No Wikipedia artic",proposed
A0026,Yoshimi Inoue,,1946,2015,shito-ryu,,,"[lineage completion] Founder of Inoue-ha Shito-ryu Keishin-kai (2004), legendary Japan national kata coach; needed to wire Rika Usami (Q11449100) into the tree via Teruo Hayashi's Hayashi-ha line. Sources: http://findingkarate.com/wordpress/",proposed
A0027,Katsuoh Yamamoto,,1938,2017,chito-ryu|yoshukai,,https://en.wikipedia.org/wiki/Yoshukai_Karate,[lineage completion] Founder of Yoshukai Karate; top student of Tsuyoshi Chitose (Q135222893) and teacher of Michael G. Foster (Q6830460); required to complete the documented Chitose-to-Foster chain. Sources: https://www.usadojo.com/katsuoh-,proposed
A0028,Chosei Motobu,,1925,,motobu-ryu|motobu-udundi|karate-generic,,https://en.wikipedia.org/wiki/Motobu-ry%C5%AB,"[kojo-motobu-ryuei] Third son of Motobu Choki; trained under his father 1938-1942, under his cousin Chomei after WWII, and under Seikichi Uehara from 1976; second Soke of Motobu-ryu (Motobu Kenpo) and 14th Soke of Motobu Udundi from 2003. E",proposed
A0029,Motobu Choshin,,,,motobu-udundi|te,,https://en.wikipedia.org/wiki/House_of_Motobu,[kojo-motobu-ryuei] 9th head of the House of Motobu (Motobu Aji Choshin) and father of Choyu and Choki; documented as teaching Choyu the family art Motobu Udundi from age six. Essential to complete Choyu's teacher chain. Dates not given in ,proposed
A0030,Sakuma Pechin,,,,shuri-te|te,,,"[kojo-motobu-ryuei] One of Motobu Choki's four documented teachers, instructing him in kakidi (old-style kumite); named on Choki's Wikipedia article. Dates unknown. Source: https://en.wikipedia.org/wiki/Motobu_Ch%C5%8Dki",proposed
A0031,Joki Uema,,,,kobayashi-shorin-ryu|shorin-ryu-shubukan,,,"[branch completion] Founder of Shorin-ryu Shubukan, direct student of Chibana Choshin, Hanshi 10th dan; head of one of the four main Kobayashi branches, missing from both rosters.",proposed
A0032,Yasuhiro Uema,,,,kobayashi-shorin-ryu|shorin-ryu-shubukan,,,"[branch completion] Second-generation head of Shorin-ryu Shubukan, son and student of founder Joki Uema, chairman of Okinawa Shubukan.",proposed
A0033,Takeshi Uema,,,,kobayashi-shorin-ryu|shorin-ryu-shubukan,,,"[branch completion] Third-generation and current head of Shorin-ryu Shubukan, trained by his father Yasuhiro and grandfather Joki Uema.",proposed
A0034,Oscar Higa,,1945,,shorin-ryu-kyudokan|kobayashi-shorin-ryu,,https://it.wikipedia.org/wiki/Oscar_Higa,"[branch completion] 10th dan, World Technical Director / head of the World Shorin-ryu Kyudokan Higa-te Federation; son of Jintatsu Higa and student of his uncle Yuchoku Higa; spread Kyudokan to over 30 countries.",proposed
A0035,Benito Higa,,,,shorin-ryu-kyudokan|kobayashi-shorin-ryu,,,[branch completion] Son and student of Jintatsu Higa; credited on Wikipedia's Kyudokan page with establishing Kyudokan branches across South America.,proposed
A0036,Doug Perry,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,,,"[branch completion] Hanshi, Shorinkan North American representative; trained directly under Shugoro Nakazato from 1981, promoted 9th dan by him in 2009, first non-Okinawan at that rank in the organisation.",proposed
A0037,Noel Smith,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,,,[branch completion] One of Shorinkan's 'Original 7' who brought the style to America; trained directly under Shugoro Nakazato in the early 1960s; senior US Shorinkan teacher named on Wikipedia.,proposed
A0038,Eddie Bethea,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,,,[branch completion] One of Shorinkan's 'Original 7'; trained directly under Shugoro Nakazato from the early 1960s; named on both the Nakazato and Shorinkan Wikipedia pages.,proposed
A0039,Kazumasa Yokoyama,,,,shorin-ryu-shorinkan|kobayashi-shorin-ryu,,,[branch completion] Named on Wikipedia's Shugoro Nakazato page as one of his notable students (Shorinkan).,proposed
A0040,Pat Nakata,,,2013,kobayashi-shorin-ryu|shorin-ryu,,,[branch completion] Direct student of Chibana Choshin in Okinawa; founded the Okinawa Shorin Ryu Karate Association of Hawaii in 1963; prominent Kobayashi lineage holder documented in Classical Fighting Arts and multiple interviews.,proposed
A0041,Yoshihide Shinzato,,,,kobayashi-shorin-ryu|shorin-ryu,,,[branch completion] Listed on Wikipedia's Chibana Choshin page among his notable students; pioneer of Kobayashi Shorin-ryu in Brazil.,proposed
A0042,Zenshun Shimabukuro,,,,Shorin-ryu Seibukan,,,"[branch completion] Eldest son of Zenpo Shimabukuro, instructor at the Seibukan Hombu Dojo and Ozato Dojo, designated next head of Shorin-ryu Seibukan.",proposed
A0043,Zenji Shimabukuro,,,,Shorin-ryu Seibukan,,,[branch completion] Nephew of founder Zenryo Shimabukuro and one of his core students; senior figure of Seibukan named on Zenryo's Wikipedia page.,proposed
A0044,Dan Smith,,,,Shorin-ryu Seibukan,,,"[branch completion] Hanshi 9th dan, President of Seibukan USA, over 40 years under Zenpo Shimabukuro, one of only two non-Okinawan Hanshi in Seibukan; brought Seibukan to the United States.",proposed
A0045,Walter Dailey,,,,Shorin-ryu Seibukan,,,[branch completion] American serviceman student of Zenryo Shimabukuro and pioneer of Seibukan Shorin-ryu in the United States (Philadelphia).,proposed
A0046,Isamu Tamotsu,,1919,,Shorinji-ryu Renshinkan,,,"[branch completion] Founder (Shodai Soke) of Shorinji-ryu Renshinkan, established in Kagoshima on 8 November 1955; trained under Zenryo Shimabukuro and Joen Nakazato in the Kyan line.",proposed
A0047,Iwao Tamotsu,,,2016,Shorinji-ryu Renshinkan,,,[branch completion] Son of Isamu Tamotsu; second Soke (Nidaime) of Shorinji-ryu Renshinkan from May 2000 until his death in November 2016.,proposed
A0048,Yuzo Tamotsu,,,,Shorinji-ryu Renshinkan,,,"[branch completion] Third Soke (Sandaime) and current Grand Master of Shorinji-ryu Renshinkan, 10th degree black belt.",proposed
A0049,Hitoshi Oyakawa,,,,Shorinji-ryu,,,"[branch completion] Head of Okinawa Karate-do Shorinji-ryu Shinkokai (Nishihara Dojo), direct student of Joen Nakazato, preserving the Kyan-to-Nakazato kata transmission.",proposed
A0050,Eiko Shimabukuro,,,,Shobayashi Shorin-ryu,,,"[branch completion] Son of Eizo Shimabukuro, 10th dan, ran the Koza City branch dojo and is the presumed head of Shobayashi Shorin-ryu since Eizo's death in 2017.",proposed
A0051,Bill Hayes,,,,Shobayashi Shorin-ryu,,,"[branch completion] Senior American student of Eizo Shimabukuro (US Marine, trained on Okinawa from the 1960s), leader of the Shobayashi Kan study and preservation group and key transmitter of Shobayashi-ryu in the United States.",proposed
A0052,Matt Larsen,,,,Shobayashi Shorin-ryu,,,"[branch completion] Founder of the US Army Modern Combatives programme; listed as a karate student of Eizo Shimabukuro (low-confidence single source, included dashed).",proposed
A0053,Chotoku Omine,,1929,1975,matsubayashi-ryu,,,"[branch completion] Senior student of Shoshin Nagamine from 1947 and head instructor of the Nagamine Kodokan dojo; sent to the US in 1969 as head instructor for the American organisation, founded the Omine dojo in San Bruno, California in 1",proposed
A0054,Kensei Taba,,1933,2012,matsubayashi-ryu|shogen-ryu,,,"[branch completion] Hanshi 10th dan, senior Nagamine student, head of the Matsubayashi-ryu organisation at Nagamine's death and first WMKA president; left to found Okinawa Shogen-ryu (c. 1999-2001), named in honour of Shoshin Nagamine. Year",proposed
A0055,Yoshitaka Taira,,,,matsubayashi-ryu,,,"[branch completion] Hanshi 10th dan, direct student of Shoshin Nagamine, WMKA president since 2012 and head of the Kodokan Taira honbu dojo in Urasoe; also president of the Okinawa Prefecture Karatedo Association. Sources: http://matsubayas",proposed
A0056,Toshimitsu Arakaki,,,,matsubayashi-ryu,,,"[branch completion] Direct student of Shoshin Nagamine, elected WMKA vice-president after Takayoshi Nagamine's death in 2012, now co-leader of the WMKA. Sources: https://en.wikipedia.org/wiki/Takayoshi_Nagamine, https://en.wikipedia.org/wik",proposed
A0057,James Wax,,,,matsubayashi-ryu,,,"[branch completion] American serviceman who trained at Nagamine's Naha dojo, reported as the first American black belt in Matsubayashi-ryu; brought the style to Dayton, Ohio in 1959 and sponsored Ansei Ueshiro's 1962 visa. Sources: https://",proposed
A0058,Frank Grant,,1933,2019,matsubayashi-ryu,,,"[branch completion] Hanshi 10th dan, student of James Wax (1959), Ansei Ueshiro and Chotoku Omine, graded before Shoshin Nagamine; chaired the World Shorin-Ryu Karate-Do Federation, leading US Matsubayashi lineage. Sources: https://www.mats",proposed
A0059,Robert Scaglione,,,,matsubayashi-ryu,,,"[branch completion] Hanshi 10th dan, black belt under Ansei Ueshiro, founder of the Manhattan honbu (1977), hand-picked by Ueshiro to head Ueshiro Shorin-Ryu Karate USA after 2002. Sources: https://www.shorinryu.com/about-hanshi-scaglione, ",proposed
A0060,Terry Maccarrone,,,,matsubayashi-ryu,,,[branch completion] Shihan of the Hegashi (St James) dojo on Long Island within Ueshiro's Shorin-Ryu Karate USA; teacher of Robert Scaglione. Sources: https://www.shorinryu.com/about-hanshi-scaglione,proposed
A0061,Joseph Carbonara,,,,matsubayashi-ryu,,,"[branch completion] East Northport, New York dojo head who hosted Chotoku Omine as instructor after 1969; direct student under Soke Takayoshi Nagamine per SRKDI lineage, teacher of Jerry Figgiani. Sources: https://ominekarate.com/?p=240, ht",proposed
A0062,Jerry Figgiani,,,,matsubayashi-ryu,,,"[branch completion] 9th dan, student of Joseph Carbonara who also trained with Takayoshi Nagamine; founder and president of Shorin Ryu Karate Do International (2009), continuing the Nagamine lineage internationally. Sources: https://srkdi.o",proposed
A0063,Masao Shima,,,,matsubayashi-ryu,,,[branch completion] Okinawan dojo head described as one of the most important students of Shoshin Nagamine; first teacher of Eihachi Ota. Sources: https://okinawanshorinryuindia.com/Ota%20Eihachi.html,proposed
A0064,Eihachi Ota,,,,matsubayashi-ryu|okinawan-kobudo,,,"[branch completion] Hanshi 10th dan, student of Masao Shima and of Nagamine at the home dojo; moved to the US in 1969, teaching Matsubayashi Shorin-ryu in Los Angeles since 1973, described as the highest-ranking practitioner outside Okinawa",proposed
A0065,Takaya Yabiku,,,,Matsumura Seito Shorin-ryu|Konan-ryu|Okinawan kobudo,,,[branch completion] Senior student of Hohan Soken (twenty years) and founder of the Matsusokan branch of Matsumura Seito; blended Gokenki's white crane material into Konan-ryu.,proposed
A0066,Yuichi Kuda,,1928,1999,Matsumura Kenpo Shorin-ryu|Okinawan Kenpo|Okinawan kobudo,,,[branch completion] Student of Shigeru Nakamura (Okinawan Kenpo) then Hohan Soken; founded Matsumura Kenpo Shorin-ryu Karate Kobudo Association.,proposed
A0067,Tomosada Kuda,,1950,,Matsumura Kenpo Shorin-ryu|Okinawan kobudo,,,"[branch completion] Son and successor of Yuichi Kuda; president of the All Okinawa Shorin Ryu Matsumura Karate and Kobudo Association and head of the Kobukan dojo, Urasoe.",proposed
A0068,Isao Kise,,1957,2025,Matsumura Seito Shorin-ryu|Kenshinkan|Okinawan kobudo,,,[branch completion] Son and designated successor of Fusei Kise; 10th dan and president (kaicho) of the All Okinawan Shorin Ryu Matsumura Seito Kenshin Kan Karate and Kobudo Federation.,proposed
A0069,Seizan Kinjo,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Senior Matsumura Seito student under Hohan Soken and Fusei Kise (listed as Seizen Kinjo on Wikipedia); primary instructor of Ronald Lindsey in Okinawa.,proposed
A0070,Ronald Lindsey,,1945,2023,Matsumura Seito Shorin-ryu|Okinawan kobudo,,,"[branch completion] American Matsumura Seito pioneer in Texas, 10th dan hanshi; author of Okinawa no Bushi no Te; held certificates from Soken, Kise, Kuda and Yabiku.",proposed
A0071,James Coffman,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Listed among Hohan Soken's senior students on Wikipedia; one of Soken's early American students and a Matsumura Seito pioneer in the USA.,proposed
A0072,Nobutake Shingake,,,,Okinawan karate,,,"[branch completion] Okinawan teacher under whom Fusei Kise received shodan in 1955, per Kise's official biography; single-tradition source.",proposed
A0073,Giuseppe Meloni,,,,Matsumura Seito Shorin-ryu,,,"[branch completion] Officially recognised successor of Nishihira Kosei for Europe (Wikipedia, Nishihira Kosei article); carries the orthodox Matsumura Seito transmission in Italy.",proposed
A0074,Ricky Rose,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Officially recognised successor of Nishihira Kosei for the USA; also listed among Hohan Soken's senior and notable students on Wikipedia.,proposed
A0075,Theodore Lange,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Officially recognised successor of Nishihira Kosei for Australia; also listed among Hohan Soken's senior students on Wikipedia.,proposed
A0076,Steve Watson,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Officially recognised successor of Nishihira Kosei (Australia) per the Wikipedia Nishihira Kosei article.,proposed
A0077,Richard Boyden,,,,Matsumura Seito Shorin-ryu,,,[branch completion] Officially recognised successor of Nishihira Kosei per the Wikipedia Nishihira Kosei article.,proposed
A0078,Chojiro Tani,,1921,1998,tani-ha-shito-ryu|shukokai|shito-ryu|goju-ryu,,https://en.wikipedia.org/wiki/Ch%C5%8Djir%C5%8D_Tani,[branch completion] Founder of Tani-ha Shito-ryu (Shukokai); received certificate of succession from Kenwa Mabuni in 1946.,proposed
A0079,Shigeru Kimura,,1941,1995,shukokai|tani-ha-shito-ryu|shito-ryu,,,"[branch completion] Tani's most senior student; spread Shukokai to Africa, Europe and the US; head of Kimura Shukokai worldwide until his death.",proposed
A0080,Haruyoshi Yamada,,,,shukokai|tani-ha-shito-ryu|shito-ryu,,,[branch completion] 9th dan hanshi; inaugural head of the Shito-ryu Shukokai Karate-do Union founded 28 June 1998 after Tani's death.,proposed
A0081,Eddie Daniels,,,,shukokai|shito-ryu,,,"[branch completion] Senior Kimura student; head of Shukokai Karate Federation, one of four co-leaders of Kimura's organisation after 1995.",proposed
A0082,Bill Bressaw,,,,shukokai|shito-ryu,,,[branch completion] Senior Kimura student; head of the American Shukokai Karate Union.,proposed
A0083,Chris Thompson,,,,shukokai|shito-ryu,,,[branch completion] Senior Kimura student; co-leader of Kimura Shukokai International.,proposed
A0084,Lionel Marinus,,,,shukokai|shito-ryu,,,[branch completion] Senior Kimura student (South Africa); co-leader of Kimura Shukokai International.,proposed
A0085,Sadaaki Sakagami,,1942,,itosu-ryu|shito-ryu|ryukyu-kobudo,,,[branch completion] Son of Ryusho Sakagami; 4th Itosu-ryu soke and president of Japan Karatedo Itosu-kai from 30 April 1994.,proposed
A0086,Seiko Suzuki,,,,shito-ryu,,,"[branch completion] Notable Sakagami disciple; founder of Seiko-kai Shito-ryu, Tokyo.",proposed
A0087,Kei Tsumura,,,,shito-ryu|itosu-ryu,,,[branch completion] Notable Sakagami disciple; founded Shito-ryu Itosu-kai Canada in 1969.,proposed
A0088,Akio Minakami,,1948,,hayashi-ha-shito-ryu|shito-ryu,,https://en.wikipedia.org/wiki/Akio_Minakami,"[branch completion] President of US Hayashi-ha Shitoryu-kai, 8th dan, leading carrier of Teruo Hayashi's lineage in North America.",proposed
A0089,Chuzo Kotaka,,1941,,kotaka-ha-shito-ryu|shito-ryu|shukokai,,,[branch completion] 1962 All Japan champion from the Seishinkai line; founded the International Karate Federation Hawaii and Kotaka-ha Shito-ryu in 1966; teacher of Akio Minakami.,proposed
A0090,Kenyu Mabuni,,1951,,shito-ryu,,,[branch completion] Eldest son of Kenei Mabuni; inaugurated 3rd soke of Shito-ryu in Osaka on 28 February 2016.,proposed
A0091,Tsukasa Mabuni,,,,shito-ryu|seito-shito-ryu,,,"[branch completion] Eldest daughter of Kenzo Mabuni; announced 3rd soke of Seito Shito-ryu in Osaka, July 2005.",proposed
A0092,Genzo Iwata,,1958,,shito-ryu,,,[branch completion] Son of Manzo Iwata; president of the World Shitoryu Karate Federation (Shito-kai).,proposed
A0093,William H. Price,,,,motobu-ha-shito-ryu|kuniba-ryu|shito-ryu,,,[branch completion] Named second soke of Kuniba-ryu Karate-do and Goshindo by Shogo Kuniba on 16 March 1992.,proposed
A0094,Kozo Kuniba,,,,motobu-ha-shito-ryu|shito-ryu,,,"[branch completion] Son of Shogo Kuniba; head of Kuniba-kai, established in Japan in 1999.",proposed
A0095,Kazutaka Otsuka (Hironori Otsuka III),,1965,,wado-ryu,,,[branch completion] Grandson of the founder and current (3rd) grandmaster of Wado-ryu since 2015; named in the Wado-ryu Wikipedia article as Jiro Otsuka's son and successor. Needed to bring the Otsuka family line to the present head.,proposed
A0096,Hideho Takagi,,1942,2018,wado-ryu,,,[branch completion] Direct student of Hironori Otsuka at Nihon University; chairman of the JKF Wadokai Technical Committee and the organisation's highest technical authority for about thirty years; 8th dan. Documented in the WKSI obituary.,proposed
A0097,Yoshiaki Ajari,,1933,,wado-ryu|goju-ryu,,,"[branch completion] Otsuka's student at Meiji University who pioneered Wado-ryu on the US West Coast from 1957, founded the US Wadokai Karatedo Federation, and made the 1965 legacy films with Otsuka. Named in the Wado-ryu Wikipedia article ",proposed
A0098,Masafumi Shiomitsu,,1940,,wado-ryu|shorin-ryu,,https://fr.wikipedia.org/wiki/Masafumi_Shiomitsu,"[branch completion] 9th dan Hanshi; Otsuka's Nihon University student sent abroad in 1965, central to Wado-ryu's European expansion, founder and head of the worldwide Wado-Ryu Karate-Do Academy (1989).",proposed
A0099,Jon Wicks,,,,wado-ryu,,,"[branch completion] Tatsuo Suzuki's student and appointed successor; WIKF World Chief Instructor since 2009/2011, 8th dan awarded by Suzuki. Current head of the WIKF branch, per the official WIKF site.",proposed
A0100,Denis Labbé,,,,wado-ryu,,,"[branch completion] Shintani's named successor and President of the Shintani Wado Kai Karate Federation (Canada's largest Wado organisation) since 2000; 9th dan, per shintani.ca.",proposed
A0101,Ron Mattie,,,,wado-ryu,,,"[branch completion] Long-time Shintani student appointed SWKKF Chief Instructor after Shintani's death in 2000; 9th dan, per shintani.ca.",proposed
A0102,Hajimu Takashima,,,,wado-ryu,,,"[branch completion] Third of the senior instructors Otsuka dispatched in 1963 with Suzuki and Arakawa to spread Wado-ryu internationally, named in the Wado-ryu and Toru Arakawa Wikipedia articles.",proposed
A0103,Akira Kitagawa,,,,shorin-ryu,,,"[branch completion] Masaru Shintani's first karate teacher (Shorin-ryu, roughly 20 years from the early 1940s in Canada), named in Shintani's Wikipedia biography; explains Shintani's pre-Wado lineage.",proposed
A0104,Roy J. Hobbs,,,,Seidokan|Shorin-ryu,,,"[branch completion] Col. (USAF ret.) Roy Jerry Hobbs, 10th dan Hanshi Shorin-ryu Karate and Kobudo; Shian Toma's most senior/prolific student, President of the Seidokan Shihan Kai, direct student of both Toma Shian and Toma Seiki; founded t",proposed
A0105,Ron Nix,,1958,,Seidokan|Shorin-ryu|Okinawan kobudo,,,"[branch completion] Okinawa Seidokan senior (9th dan from Shian Toma), President of the Ryukoku Seidokan Karate Kobudo Renmei (RSKKR, founded 2008) and International Ambassador; runs the Nix Seidokan Dojo in Okinawa City, RSKKR internationa",proposed
A0106,Stephen Chan,,1949,,Seidokan|Shorin-ryu|Jindokai,,https://en.wikipedia.org/wiki/Stephen_Chan_(academic),"[branch completion] Professor of World Politics at SOAS and Seidokan master: 7th dan/Shihan from Shian Toma, 8th dan/Kyoshi from Seiki Toma, 9th dan/Hanshi from Roy Hobbs; pioneered Seidokan in Zambia (1981-85) and founded the Jindokai orga",proposed
A0107,Shigemitsu Tamae,,1950,,Seidokan|Okinawan kobudo,,,[branch completion] Second headmaster of Okinawa Seidokan from May 2013 on Shian Toma's death; Toma's student since 1963; heads the Okinawa Seidokan Karate Kobudo Renmei from his Yomitan dojo. This is the 'Tamai' 10th dan the owner asked ab,proposed
A0108,John E. Kennedy,,,,Seidokan,,,"[branch completion] Senior Shian Toma student who brought Seidokan to the United States; promoted to 9th dan by Toma in 2001 (Wikipedia, Okinawa Seidokan).",proposed
A0109,Allen Tackett,,,,Seidokan,,,[branch completion] Seidokan 9th dan listed among Shian Toma's senior students on the Okinawa Seidokan Wikipedia article.,proposed
A0110,Glenn Capistrant,,,,Seidokan,,,[branch completion] Seidokan 9th dan listed among Shian Toma's senior students on the Okinawa Seidokan Wikipedia article.,proposed
A0111,C. Michial Jones,,,,Seidokan,,,[branch completion] Graded Shihan by Shian Toma and Kyoshi by Roy Hobbs in Seidokan Karate and Kobudo; founded the International Karate Kobudo Kyokai (2016) to further Toma's teachings; co-authored the 2002 Seidokan history with Hobbs.,proposed
